dataset_index	problem_index	ProductionRequirements	MachineSetting
D9	1	"B_20,F_18,A_18,E_42,I_19,C_27,L_21,H_19,D_31,J_27"	"DARES01_A_DA1,DARES02_B_DA1,DARES03_C_DA1,DARES04_C_DA2,DARES05_D_DA2,DARES06_D_DA2,DARES07_E_DA1,DARES08_E_DA4,DARES09_E_DA4,DARES10_E_DA4,DARES11_F_DA1,DARES12_F_DA2,DARES13_F_DA3,DARES14_I_DA1,DARES15_J_DA2,DARES16_L_DA1,DARES17_L_DA1,DARES18_L_DA1,DARES19_L_DA4,DARES20_L_DA4,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_A_WB1,WBRES05_B_WB1,WBRES06_B_WB1,WBRES07_B_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_D_WB2,WBRES12_D_WB2,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_E_WB1,WBRES17_E_WB2,WBRES18_E_WB2,WBRES19_E_WB2,WBRES20_E_WB4,WBRES21_F_WB2,WBRES22_F_WB2,WBRES23_F_WB2,WBRES24_F_WB2,WBRES25_F_WB3,WBRES26_F_WB3,WBRES27_F_WB3,WBRES28_F_WB3,WBRES29_H_WB3,WBRES30_H_WB3,WBRES31_I_WB2,WBRES32_I_WB2,WBRES33_I_WB2,WBRES34_J_WB1,WBRES35_J_WB1,WBRES36_J_WB2,WBRES37_J_WB2,WBRES38_L_WB1,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB2,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB4,WBRES49_L_WB4,WBRES50_L_WB5"
D9	2	"B_18,F_21,A_19,E_39,I_21,C_29,L_20,H_19,D_27,J_28"	"DARES01_B_DA1,DARES02_D_DA1,DARES03_D_DA2,DARES04_D_DA3,DARES05_D_DA3,DARES06_E_DA1,DARES07_E_DA2,DARES08_E_DA4,DARES09_F_DA2,DARES10_F_DA2,DARES11_H_DA2,DARES12_H_DA2,DARES13_H_DA3,DARES14_H_DA3,DARES15_I_DA1,DARES16_I_DA2,DARES17_J_DA1,DARES18_J_DA2,DARES19_L_DA1,DARES20_L_DA3,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_B_WB1,WBRES04_B_WB1,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_E_WB2,WBRES15_E_WB2,WBRES16_E_WB2,WBRES17_E_WB3,WBRES18_E_WB4,WBRES19_E_WB4,WBRES20_F_WB2,WBRES21_F_WB2,WBRES22_F_WB2,WBRES23_F_WB3,WBRES24_F_WB3,WBRES25_F_WB3,WBRES26_F_WB3,WBRES27_H_WB3,WBRES28_H_WB3,WBRES29_H_WB3,WBRES30_I_WB2,WBRES31_I_WB2,WBRES32_J_WB1,WBRES33_J_WB1,WBRES34_J_WB1,WBRES35_J_WB1,WBRES36_J_WB2,WBRES37_J_WB2,WBRES38_J_WB2,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB1,WBRES42_L_WB2,WBRES43_L_WB3,WBRES44_L_WB3,WBRES45_L_WB4,WBRES46_L_WB4,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	3	"B_18,F_19,A_18,E_40,I_19,C_29,L_19,H_20,D_31,J_31"	"DARES01_A_DA1,DARES02_B_DA1,DARES03_C_DA2,DARES04_D_DA1,DARES05_E_DA1,DARES06_E_DA2,DARES07_E_DA2,DARES08_E_DA3,DARES09_E_DA4,DARES10_F_DA2,DARES11_F_DA3,DARES12_H_DA1,DARES13_H_DA1,DARES14_H_DA2,DARES15_I_DA2,DARES16_J_DA1,DARES17_L_DA3,DARES18_L_DA3,DARES19_L_DA4,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB1,WBRES14_D_WB2,WBRES15_D_WB2,WBRES16_D_WB3,WBRES17_E_WB1,WBRES18_E_WB1,WBRES19_E_WB1,WBRES20_E_WB2,WBRES21_E_WB2,WBRES22_E_WB2,WBRES23_E_WB3,WBRES24_E_WB4,WBRES25_E_WB4,WBRES26_F_WB2,WBRES27_F_WB2,WBRES28_F_WB3,WBRES29_F_WB3,WBRES30_H_WB3,WBRES31_J_WB1,WBRES32_J_WB1,WBRES33_J_WB1,WBRES34_J_WB1,WBRES35_J_WB1,WBRES36_J_WB2,WBRES37_J_WB2,WBRES38_L_WB1,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB2,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB4,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	4	"B_20,F_18,A_21,E_37,I_18,C_27,L_19,H_19,D_32,J_29"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_A_DA1,DARES04_B_DA1,DARES05_B_DA1,DARES06_C_DA1,DARES07_D_DA1,DARES08_D_DA2,DARES09_D_DA3,DARES10_E_DA2,DARES11_E_DA2,DARES12_F_DA1,DARES13_H_DA1,DARES14_H_DA1,DARES15_H_DA2,DARES16_I_DA1,DARES17_J_DA1,DARES18_J_DA2,DARES19_J_DA2,DARES20_L_DA4,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB2,WBRES04_C_WB2,WBRES05_C_WB2,WBRES06_D_WB1,WBRES07_D_WB2,WBRES08_D_WB3,WBRES09_D_WB3,WBRES10_D_WB3,WBRES11_E_WB1,WBRES12_E_WB2,WBRES13_E_WB3,WBRES14_E_WB3,WBRES15_E_WB3,WBRES16_E_WB4,WBRES17_E_WB4,WBRES18_E_WB4,WBRES19_F_WB2,WBRES20_F_WB2,WBRES21_F_WB2,WBRES22_F_WB3,WBRES23_H_WB3,WBRES24_H_WB3,WBRES25_H_WB3,WBRES26_H_WB3,WBRES27_H_WB3,WBRES28_I_WB2,WBRES29_I_WB2,WBRES30_I_WB2,WBRES31_I_WB2,WBRES32_J_WB1,WBRES33_J_WB1,WBRES34_J_WB1,WBRES35_J_WB1,WBRES36_J_WB2,WBRES37_J_WB2,WBRES38_J_WB2,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB1,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB2,WBRES45_L_WB3,WBRES46_L_WB4,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	5	"B_20,F_19,A_19,E_40,I_18,C_28,L_18,H_18,D_28,J_32"	"DARES01_C_DA1,DARES02_C_DA1,DARES03_C_DA2,DARES04_D_DA1,DARES05_E_DA3,DARES06_E_DA4,DARES07_E_DA4,DARES08_F_DA1,DARES09_F_DA2,DARES10_F_DA2,DARES11_F_DA3,DARES12_F_DA3,DARES13_H_DA1,DARES14_H_DA2,DARES15_I_DA2,DARES16_L_DA1,DARES17_L_DA3,DARES18_L_DA4,DARES19_L_DA4,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_B_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_D_WB1,WBRES09_D_WB2,WBRES10_D_WB3,WBRES11_E_WB1,WBRES12_E_WB1,WBRES13_E_WB1,WBRES14_E_WB2,WBRES15_E_WB3,WBRES16_E_WB3,WBRES17_E_WB3,WBRES18_E_WB3,WBRES19_E_WB3,WBRES20_E_WB3,WBRES21_E_WB4,WBRES22_E_WB4,WBRES23_E_WB4,WBRES24_E_WB4,WBRES25_F_WB2,WBRES26_F_WB2,WBRES27_F_WB2,WBRES28_F_WB2,WBRES29_H_WB3,WBRES30_H_WB3,WBRES31_H_WB3,WBRES32_H_WB3,WBRES33_I_WB2,WBRES34_J_WB2,WBRES35_L_WB1,WBRES36_L_WB1,WBRES37_L_WB1,WBRES38_L_WB2,WBRES39_L_WB2,WBRES40_L_WB2,WBRES41_L_WB3,WBRES42_L_WB3,WBRES43_L_WB3,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB4,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	6	"B_21,F_20,A_20,E_39,I_20,C_32,L_20,H_19,D_28,J_28"	"DARES01_A_DA1,DARES02_B_DA1,DARES03_D_DA2,DARES04_E_DA2,DARES05_E_DA3,DARES06_E_DA4,DARES07_E_DA4,DARES08_F_DA1,DARES09_F_DA3,DARES10_F_DA3,DARES11_F_DA3,DARES12_H_DA3,DARES13_I_DA1,DARES14_I_DA1,DARES15_J_DA1,DARES16_J_DA1,DARES17_L_DA1,DARES18_L_DA4,DARES19_L_DA5,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_B_WB1,WBRES05_B_WB1,WBRES06_B_WB1,WBRES07_B_WB1,WBRES08_B_WB1,WBRES09_C_WB1,WBRES10_C_WB1,WBRES11_C_WB2,WBRES12_C_WB2,WBRES13_C_WB2,WBRES14_D_WB1,WBRES15_D_WB1,WBRES16_D_WB1,WBRES17_D_WB1,WBRES18_D_WB3,WBRES19_D_WB3,WBRES20_E_WB3,WBRES21_E_WB3,WBRES22_E_WB3,WBRES23_E_WB4,WBRES24_F_WB2,WBRES25_F_WB3,WBRES26_F_WB3,WBRES27_H_WB3,WBRES28_H_WB3,WBRES29_I_WB2,WBRES30_I_WB2,WBRES31_I_WB2,WBRES32_I_WB2,WBRES33_J_WB1,WBRES34_J_WB1,WBRES35_J_WB1,WBRES36_J_WB1,WBRES37_J_WB2,WBRES38_J_WB2,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB2,WBRES42_L_WB3,WBRES43_L_WB3,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	7	"B_21,F_19,A_21,E_36,I_18,C_32,L_20,H_19,D_29,J_29"	"DARES01_B_DA1,DARES02_B_DA1,DARES03_C_DA1,DARES04_C_DA1,DARES05_D_DA1,DARES06_D_DA3,DARES07_E_DA1,DARES08_E_DA1,DARES09_E_DA2,DARES10_E_DA2,DARES11_F_DA1,DARES12_F_DA2,DARES13_F_DA3,DARES14_F_DA3,DARES15_H_DA1,DARES16_H_DA2,DARES17_J_DA1,DARES18_L_DA3,DARES19_L_DA5,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_D_WB3,WBRES17_D_WB3,WBRES18_E_WB1,WBRES19_E_WB1,WBRES20_E_WB1,WBRES21_E_WB2,WBRES22_E_WB2,WBRES23_E_WB2,WBRES24_E_WB2,WBRES25_E_WB4,WBRES26_E_WB4,WBRES27_E_WB4,WBRES28_E_WB4,WBRES29_F_WB2,WBRES30_F_WB2,WBRES31_F_WB2,WBRES32_F_WB3,WBRES33_F_WB3,WBRES34_H_WB3,WBRES35_H_WB3,WBRES36_I_WB2,WBRES37_I_WB2,WBRES38_J_WB1,WBRES39_J_WB1,WBRES40_J_WB1,WBRES41_J_WB2,WBRES42_J_WB2,WBRES43_L_WB1,WBRES44_L_WB2,WBRES45_L_WB2,WBRES46_L_WB3,WBRES47_L_WB3,WBRES48_L_WB4,WBRES49_L_WB4,WBRES50_L_WB5"
D9	8	"B_18,F_18,A_18,E_42,I_21,C_28,L_18,H_21,D_27,J_30"	"DARES01_B_DA1,DARES02_B_DA1,DARES03_C_DA1,DARES04_C_DA1,DARES05_C_DA2,DARES06_D_DA2,DARES07_D_DA3,DARES08_D_DA3,DARES09_E_DA2,DARES10_E_DA2,DARES11_E_DA3,DARES12_E_DA4,DARES13_F_DA1,DARES14_F_DA3,DARES15_H_DA1,DARES16_J_DA1,DARES17_L_DA1,DARES18_L_DA3,DARES19_L_DA3,DARES20_L_DA3,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB2,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB2,WBRES10_D_WB2,WBRES11_D_WB3,WBRES12_D_WB3,WBRES13_D_WB3,WBRES14_D_WB3,WBRES15_D_WB3,WBRES16_E_WB2,WBRES17_E_WB3,WBRES18_E_WB3,WBRES19_E_WB3,WBRES20_E_WB3,WBRES21_E_WB4,WBRES22_E_WB4,WBRES23_E_WB4,WBRES24_E_WB4,WBRES25_E_WB4,WBRES26_F_WB2,WBRES27_F_WB2,WBRES28_F_WB2,WBRES29_F_WB3,WBRES30_F_WB3,WBRES31_F_WB3,WBRES32_H_WB3,WBRES33_H_WB3,WBRES34_H_WB3,WBRES35_H_WB3,WBRES36_I_WB2,WBRES37_J_WB1,WBRES38_J_WB1,WBRES39_J_WB1,WBRES40_J_WB1,WBRES41_J_WB2,WBRES42_J_WB2,WBRES43_J_WB2,WBRES44_J_WB2,WBRES45_L_WB2,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB4,WBRES49_L_WB4,WBRES50_L_WB5"
D9	9	"B_19,F_20,A_20,E_41,I_18,C_32,L_18,H_21,D_28,J_30"	"DARES01_C_DA1,DARES02_C_DA2,DARES03_C_DA2,DARES04_D_DA1,DARES05_E_DA1,DARES06_E_DA2,DARES07_E_DA3,DARES08_E_DA3,DARES09_E_DA4,DARES10_F_DA1,DARES11_F_DA2,DARES12_F_DA3,DARES13_F_DA3,DARES14_H_DA1,DARES15_H_DA3,DARES16_I_DA2,DARES17_J_DA1,DARES18_J_DA1,DARES19_L_DA3,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_B_WB1,WBRES03_C_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB2,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB2,WBRES16_D_WB2,WBRES17_E_WB2,WBRES18_E_WB2,WBRES19_E_WB3,WBRES20_E_WB3,WBRES21_E_WB3,WBRES22_E_WB3,WBRES23_E_WB3,WBRES24_E_WB4,WBRES25_E_WB4,WBRES26_E_WB4,WBRES27_E_WB4,WBRES28_E_WB4,WBRES29_F_WB2,WBRES30_F_WB2,WBRES31_F_WB3,WBRES32_F_WB3,WBRES33_F_WB3,WBRES34_F_WB3,WBRES35_H_WB3,WBRES36_I_WB2,WBRES37_I_WB2,WBRES38_J_WB1,WBRES39_J_WB1,WBRES40_J_WB1,WBRES41_L_WB1,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB2,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB3,WBRES48_L_WB3,WBRES49_L_WB4,WBRES50_L_WB5"
D9	10	"B_19,F_18,A_21,E_37,I_21,C_32,L_21,H_21,D_31,J_29"	"DARES01_A_DA1,DARES02_C_DA1,DARES03_C_DA2,DARES04_C_DA2,DARES05_D_DA3,DARES06_E_DA2,DARES07_E_DA2,DARES08_E_DA2,DARES09_E_DA3,DARES10_E_DA4,DARES11_H_DA2,DARES12_I_DA1,DARES13_I_DA2,DARES14_J_DA1,DARES15_J_DA1,DARES16_J_DA1,DARES17_J_DA2,DARES18_L_DA1,DARES19_L_DA1,DARES20_L_DA3,WBRES01_A_WB1,WBRES02_B_WB1,WBRES03_B_WB1,WBRES04_B_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB2,WBRES13_E_WB1,WBRES14_E_WB1,WBRES15_E_WB1,WBRES16_E_WB2,WBRES17_E_WB2,WBRES18_E_WB2,WBRES19_E_WB2,WBRES20_E_WB3,WBRES21_E_WB3,WBRES22_E_WB4,WBRES23_E_WB4,WBRES24_F_WB2,WBRES25_F_WB2,WBRES26_F_WB3,WBRES27_F_WB3,WBRES28_F_WB3,WBRES29_F_WB3,WBRES30_H_WB3,WBRES31_H_WB3,WBRES32_H_WB3,WBRES33_I_WB2,WBRES34_I_WB2,WBRES35_I_WB2,WBRES36_J_WB1,WBRES37_J_WB1,WBRES38_J_WB2,WBRES39_J_WB2,WBRES40_L_WB1,WBRES41_L_WB1,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB2,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	11	"B_20,F_20,A_19,E_40,I_18,C_27,L_19,H_21,D_28,J_27"	"DARES01_C_DA1,DARES02_C_DA2,DARES03_D_DA1,DARES04_D_DA1,DARES05_D_DA2,DARES06_D_DA2,DARES07_E_DA1,DARES08_E_DA1,DARES09_E_DA1,DARES10_E_DA1,DARES11_E_DA3,DARES12_F_DA1,DARES13_H_DA1,DARES14_H_DA1,DARES15_H_DA2,DARES16_J_DA1,DARES17_L_DA1,DARES18_L_DA1,DARES19_L_DA3,DARES20_L_DA4,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_B_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB2,WBRES13_D_WB3,WBRES14_E_WB1,WBRES15_E_WB3,WBRES16_E_WB3,WBRES17_E_WB3,WBRES18_E_WB3,WBRES19_E_WB4,WBRES20_F_WB2,WBRES21_F_WB2,WBRES22_F_WB2,WBRES23_H_WB3,WBRES24_I_WB2,WBRES25_I_WB2,WBRES26_I_WB2,WBRES27_I_WB2,WBRES28_I_WB2,WBRES29_J_WB1,WBRES30_J_WB1,WBRES31_J_WB1,WBRES32_J_WB2,WBRES33_J_WB2,WBRES34_J_WB2,WBRES35_J_WB2,WBRES36_J_WB2,WBRES37_L_WB1,WBRES38_L_WB1,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB1,WBRES42_L_WB2,WBRES43_L_WB3,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB5,WBRES47_L_WB5,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	12	"B_21,F_18,A_18,E_42,I_21,C_30,L_19,H_21,D_31,J_29"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_D_DA1,DARES04_D_DA1,DARES05_D_DA2,DARES06_D_DA3,DARES07_E_DA4,DARES08_E_DA4,DARES09_F_DA1,DARES10_H_DA2,DARES11_I_DA1,DARES12_I_DA2,DARES13_I_DA2,DARES14_J_DA1,DARES15_J_DA2,DARES16_L_DA1,DARES17_L_DA1,DARES18_L_DA3,DARES19_L_DA4,DARES20_L_DA4,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_A_WB1,WBRES04_A_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_D_WB1,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB2,WBRES16_E_WB1,WBRES17_E_WB1,WBRES18_E_WB2,WBRES19_E_WB2,WBRES20_E_WB3,WBRES21_E_WB3,WBRES22_F_WB2,WBRES23_F_WB2,WBRES24_F_WB2,WBRES25_F_WB2,WBRES26_F_WB3,WBRES27_F_WB3,WBRES28_F_WB3,WBRES29_F_WB3,WBRES30_H_WB3,WBRES31_H_WB3,WBRES32_H_WB3,WBRES33_I_WB2,WBRES34_I_WB2,WBRES35_I_WB2,WBRES36_J_WB1,WBRES37_J_WB1,WBRES38_J_WB1,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB1,WBRES42_L_WB1,WBRES43_L_WB3,WBRES44_L_WB3,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB4,WBRES49_L_WB5,WBRES50_L_WB5"
D9	13	"B_18,F_19,A_21,E_42,I_20,C_28,L_18,H_20,D_30,J_30"	"DARES01_A_DA1,DARES02_C_DA2,DARES03_D_DA1,DARES04_D_DA2,DARES05_D_DA2,DARES06_E_DA2,DARES07_E_DA3,DARES08_E_DA3,DARES09_E_DA4,DARES10_F_DA1,DARES11_F_DA2,DARES12_F_DA3,DARES13_H_DA1,DARES14_I_DA1,DARES15_J_DA1,DARES16_J_DA1,DARES17_L_DA1,DARES18_L_DA3,DARES19_L_DA4,DARES20_L_DA5,WBRES01_B_WB1,WBRES02_B_WB1,WBRES03_B_WB1,WBRES04_B_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB1,WBRES09_C_WB1,WBRES10_C_WB2,WBRES11_C_WB2,WBRES12_C_WB2,WBRES13_C_WB2,WBRES14_D_WB1,WBRES15_D_WB1,WBRES16_D_WB1,WBRES17_D_WB2,WBRES18_E_WB2,WBRES19_E_WB3,WBRES20_E_WB3,WBRES21_E_WB3,WBRES22_E_WB4,WBRES23_E_WB4,WBRES24_E_WB4,WBRES25_F_WB2,WBRES26_F_WB2,WBRES27_F_WB3,WBRES28_H_WB3,WBRES29_H_WB3,WBRES30_H_WB3,WBRES31_H_WB3,WBRES32_I_WB2,WBRES33_I_WB2,WBRES34_J_WB1,WBRES35_J_WB2,WBRES36_J_WB2,WBRES37_J_WB2,WBRES38_L_WB1,WBRES39_L_WB1,WBRES40_L_WB1,WBRES41_L_WB2,WBRES42_L_WB2,WBRES43_L_WB2,WBRES44_L_WB2,WBRES45_L_WB3,WBRES46_L_WB3,WBRES47_L_WB4,WBRES48_L_WB4,WBRES49_L_WB5,WBRES50_L_WB5"
D9	14	"B_19,F_21,A_19,E_39,I_20,C_32,L_20,H_20,D_27,J_30"	"DARES01_B_DA1,DARES02_C_DA1,DARES03_C_DA1,DARES04_C_DA2,DARES05_E_DA2,DARES06_E_DA3,DARES07_E_DA4,DARES08_F_DA1,DARES09_F_DA2,DARES10_F_DA2,DARES11_F_DA2,DARES12_F_DA3,DARES13_H_DA1,DARES14_H_DA1,DARES15_H_DA3,DARES16_I_DA2,DARES17_I_DA2,DARES18_J_DA1,DARES19_J_DA1,DARES20_L_DA3,WBRES01_A_WB1,WBRES02_B_WB1,WBRES03_B_WB1,WBRES04_B_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_C_WB2,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB1,WBRES14_D_WB1,WBRES15_D_WB1,WBRES16_D_WB2,WBRES17_D_WB3,WBRES18_D_WB3,WBRES19_D_WB3,WBRES20_E_WB1,WBRES21_E_WB1,WBRES22_E_WB1,WBRES23_E_WB2,WBRES24_E_WB4,WBRES25_E_WB4,WBRES26_E_WB4,WBRES27_F_WB2,WBRES28_F_WB2,WBRES29_F_WB2,WBRES30_F_WB3,WBRES31_F_WB3,WBRES32_F_WB3,WBRES33_H_WB3,WBRES34_H_WB3,WBRES35_I_WB2,WBRES36_J_WB1,WBRES37_J_WB2,WBRES38_J_WB2,WBRES39_L_WB2,WBRES40_L_WB2,WBRES41_L_WB2,WBRES42_L_WB3,WBRES43_L_WB3,WBRES44_L_WB4,WBRES45_L_WB4,WBRES46_L_WB4,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	15	"B_21,F_19,A_20,E_37,I_18,C_28,L_18,H_20,D_29,J_30"	"DARES01_A_DA1,DARES02_A_DA1,DARES03_B_DA1,DARES04_C_DA2,DARES05_D_DA2,DARES06_D_DA2,DARES07_E_DA4,DARES08_E_DA4,DARES09_F_DA1,DARES10_F_DA3,DARES11_F_DA3,DARES12_F_DA3,DARES13_H_DA1,DARES14_H_DA2,DARES15_I_DA2,DARES16_I_DA2,DARES17_I_DA2,DARES18_J_DA2,DARES19_L_DA3,DARES20_L_DA5,WBRES01_A_WB1,WBRES02_A_WB1,WBRES03_B_WB1,WBRES04_C_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB2,WBRES08_C_WB2,WBRES09_D_WB1,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB2,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_E_WB1,WBRES17_E_WB2,WBRES18_E_WB3,WBRES19_F_WB2,WBRES20_F_WB2,WBRES21_F_WB2,WBRES22_F_WB2,WBRES23_F_WB3,WBRES24_F_WB3,WBRES25_H_WB3,WBRES26_H_WB3,WBRES27_I_WB2,WBRES28_I_WB2,WBRES29_I_WB2,WBRES30_I_WB2,WBRES31_J_WB2,WBRES32_J_WB2,WBRES33_J_WB2,WBRES34_L_WB1,WBRES35_L_WB1,WBRES36_L_WB1,WBRES37_L_WB2,WBRES38_L_WB2,WBRES39_L_WB2,WBRES40_L_WB2,WBRES41_L_WB2,WBRES42_L_WB3,WBRES43_L_WB4,WBRES44_L_WB4,WBRES45_L_WB4,WBRES46_L_WB4,WBRES47_L_WB5,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
D9	16	"B_19,F_21,A_19,E_43,I_20,C_27,L_21,H_19,D_27,J_32"	"DARES01_A_DA1,DARES02_B_DA1,DARES03_C_DA1,DARES04_D_DA1,DARES05_D_DA2,DARES06_D_DA3,DARES07_D_DA3,DARES08_E_DA1,DARES09_E_DA2,DARES10_E_DA4,DARES11_E_DA4,DARES12_F_DA1,DARES13_F_DA2,DARES14_F_DA3,DARES15_H_DA1,DARES16_H_DA1,DARES17_H_DA2,DARES18_J_DA1,DARES19_L_DA3,DARES20_L_DA4,WBRES01_A_WB1,WBRES02_B_WB1,WBRES03_B_WB1,WBRES04_B_WB1,WBRES05_C_WB1,WBRES06_C_WB1,WBRES07_C_WB1,WBRES08_C_WB2,WBRES09_C_WB2,WBRES10_D_WB1,WBRES11_D_WB1,WBRES12_D_WB1,WBRES13_D_WB2,WBRES14_D_WB2,WBRES15_D_WB3,WBRES16_D_WB3,WBRES17_D_WB3,WBRES18_D_WB3,WBRES19_E_WB1,WBRES20_E_WB1,WBRES21_E_WB1,WBRES22_E_WB2,WBRES23_E_WB2,WBRES24_E_WB2,WBRES25_E_WB3,WBRES26_E_WB4,WBRES27_E_WB4,WBRES28_F_WB2,WBRES29_F_WB2,WBRES30_F_WB3,WBRES31_F_WB3,WBRES32_F_WB3,WBRES33_H_WB3,WBRES34_H_WB3,WBRES35_I_WB2,WBRES36_I_WB2,WBRES37_J_WB1,WBRES38_J_WB1,WBRES39_J_WB1,WBRES40_J_WB2,WBRES41_J_WB2,WBRES42_L_WB1,WBRES43_L_WB1,WBRES44_L_WB1,WBRES45_L_WB1,WBRES46_L_WB2,WBRES47_L_WB4,WBRES48_L_WB5,WBRES49_L_WB5,WBRES50_L_WB5"
